Published,Type,Title,Description,Video ID,Guests,Episode,Guests_String,mp3,bytes,duration,duration_hhmmss
2022-10-21 16:58:34,COG,"The LA City Council Scandal | Ep 170 - Oct. 21, 2022","The LA City Council Scandal | Ep 170 - Oct. 21, 2022

Conversations on Groong

Guest: 
* Ardashes ‘Ardy’ Kassakhian who is a Glendale City Councilman, and the current mayor of Glendale - TW/@ArdyKassakhian
* Adrin Nazarian is the California State Assemblymember from the 46th District, representing the San Fernando Valley - TW/@adrin_nazarian

Topics:
* On the LA City Council scandal and how to move forward
* On Paul Krekorian, elected LA City Council president
* On redistricting in the aftermath of the scandal
* On the effect of the scandal on the LA mayoral race
* On Armenia’s Situation in the South Caucasus
* On Armenia’s Negotiations with Azerbaijan
* On Turkish-Armenian “Normalization”

Hosts:
* Asbed Bedrossian TW/@qubriq
* Hovik Manucharyan TW/@HovikYerevan

Episode 170 | Recorded: October 19 & 20, 2022
Show notes: https://groong.org/podcasts/CoG-20221021.html",VnzUdKwGsS8,"akassakhian,anazarian",170,"""akassakhian"",""anazarian""",11546033-the-la-city-council-scandal-ep-no-170-oct-21-2022.mp3,38873717,3235,0:53:55
2022-10-17 20:24:15,WIR,"2022 Census | Astana | Iran | Cyber Attack | Remembering TsOR Unit | Ep 169 - Oct 16, 2022","Armenian News Network - Groong Week in Review - Oct 9, 2022

Topics:

- Introduction 0:00

- Census in progress in Armenia 2:24
Finally, after 2 years of delay, the 3rd decennial census is underway in Armenia, and hardly anyone is aware of it. We’ll talk about this.

- Meetings in Astana 18:42
Another large, international summit, this time of the CIS leaders took place in Kazakhstan. Pashinyan gave a plenary speech and talked with Putin and Aliyev. Mirzoyan had meetings with Lavrov and Bayramov.

- Developments in Iran 28:35
And we’ll also talk about the ongoing protests in Iran and their significance to Armenia, as well as Iran’s politics and policies towards its neighbors in the north, Armenia and Azerbaijan.

- Armenian websites compromised 45:33
We’ll talk with security expert Arthur Papyan about a number of recent cyber-attacks against Armenian websites. How serious were they and what do web site operators need to do in order to reduce the risk from such attacks?

- Remembering the TsOR artillery unit 58:37
In our last segment, we’ll talk about the fate of the TsOR Artillery Unit, who allegedly due to misdirection and false intelligence was sent to their death during the 44 day war. We’ll feature a short excerpt from our earlier recorded discussion with family members about this harrowing incident.

Guests:
- Hrant Mikaelian
- Artur Papyan
- Naira Melikyan
- Yeghishe Zakunts

Hosts:

Hovik Manucharyan TW/@HovikYerevan
Asbed Bedrossian TW/@qubriq

Episode 169 | Recorded: October 17, 2022

Website: https://groong.org/podcasts/WiR-20221016.html",fYhns_q-DgQ,"hmikaelian,apapyan,nmelikyan,yzakunts",169,"""hmikaelian"",""apapyan"",""nmelikyan"",""yzakunts""",11519914-2022-census-astana-iran-cyber-attack-remembering-tsor-unit-ep-169-oct-16-2022.mp3,48543655,4041,1:07:21
2022-10-14 18:28:51,COG,"Armenia-Azerbaijan “Peace Negotiations” Tactics and Goals | Ep No. 168 - Oct. 14, 2022","Armenia-Azerbaijan “Peace Negotiations” Tactics & Goals - October 14, 2022

Guest: 
* Benyamin Poghosyan, is the Chairman of the Yerevan based think tank Center for Political and Economic Strategic Studies,

Topics:
* Goals and Tactics of Azerbaijan’s Negotiations
* How did “Corridors” Become a Thing?
* Russia’s Contributions to the process
* Options and Scenarios Going Forward

Hosts:
* Asbed Bedrossian TW/@qubriq
* Hovik Manucharyan TW/@HovikYerevan

Episode 168 | Recorded: Friday, October 14, 2022
Show notes: https://groong.org/podcasts/CoG-20221014.html",7CdfUvrcq8k,bpoghosyan,168,"""bpoghosyan""",11503307-armenia-azerbaijan-peace-negotiations-tactics-and-goals-ep-no-168-oct-14-2022.mp3,20804148,1729,0:28:49
2022-10-11 01:34:13,WIR,"Meetings in Prague | Pashinyan Consolidating Power | Personal Rants | Ep 167 - Oct 9, 2022","Armenian News Network - Groong Week in Review - Oct 9, 2022

Timings:
00:00:00 Intro
00:00:49 Topics
00:01:28 Guest
00:02:35 Meetings in Prague
00:02:08 What is the European Political Community
00:04:22 Meeting with Erdogan
00:08:39 Meetings with Aliyev
00:25:24 Azerbaijan’s 2022 Deadline
00:28:50 Where is Russia?
00:39:59 Pashinyan Consolidating Power
00:45:04 Personal Rants
00:45:10 Benyamin’s statement
00:45:42 Hovik’s statement
00:47:00 Closing Comments

Topics:
* Meetings in Prague
* Pashinyan Consolidating Power
* Personal Rants

Guest:
* Benyamin Poghosyan - TW/@Benyamin_Poghos

Hosts:
* Hovik Manucharyan TW/@HovikYerevan
* Asbed Bedrossian TW/@qubriq

Episode 167 | Recorded: October 10, 2022
Website: https://groong.org/podcasts/WiR-20221009.html",zmaGLQvp4Xk,bpoghosyan,167,"""bpoghosyan""",11477210-meetings-in-prague-pashinyan-consolidating-power-personal-rants-ep-167-oct-9-2022.mp3,34256381,2850,0:47:30
2022-10-04 17:25:20,WIR,"US-Armenia Relations | Azerbaijan Maps | Azerbaijan Aggression and War Crimes | Ep 166 - Oct 2, 2022","Armenian News Network - Groong Week in Review - Oct 2, 2022

Timing:
00:00:00 Intro
00:00:49 Topics
00:01:50 Guests
00:02:35 US-Armenia Relations
00:24:10 Azerbaijan’s Maps and Claims
00:40:34 Azerbaijan Continues to Occupy Armenia
00:48:36 Mirzoyan-Bayramov Meeting in Geneva
01:01:10 Dynamics vis-à-vis CSTO and Others
01:13:59 Internal Politics
01:22:06 On the Haykakan Zhamanak (ArmTimes) article
01:30:45 Closing Comments

Topics:
* US-Armenia Relations
* Azerbaijan’s Maps and Claims
* Azerbaijan Continues to Occupy Armenia
* Internal Politics in Armenia

Guest:
* Aram Suren Hamparian - TW/@ANCA_DC
* Rouben Galichian - RoubenGalichian.com
* Tevan Poghosyan - TW/@TevanPoghosyan

Hosts:
* Hovik Manucharyan TW/@HovikYerevan
* Asbed Bedrossian TW/@qubriq

Episode 166 | Recorded: October 1 & 3, 2022
Website: https://groong.org/podcasts/WiR-20221002.html",_KN7CzlRueg,"ahamparian,rgalichian,bpoghosyan",166,"""ahamparian"",""rgalichian"",""bpoghosyan""",11440075-armenian-news-network-groong-week-in-review-oct-2-2022.mp3,65688522,5470,1:31:10
2022-09-19 02:33:34,WIR,"Azerbaijani aggression: facts and analysis | Nancy Pelosi | Ep 165 - Sep 18, 2022","Armenian News Network - Groong Week in Review - Sep 18, 2022

Topics:

-- 00:00:00 Introduction

-- 00:03:31 Azerbaijani Aggression: As many expected, Azerbaijan commenced a violent war against Armenia on September 13. There are hundreds of casualties including civilians and Armenian territories that have fallen in the hands of the aggressor. A fragile cease-fire is in place for now. We’ll analyze with our guests the basic facts and try to make sense of what happened.

-- 00:11:04 Russia and CSTO: The troubling aggression by Azerbaijan brought more troubles to Armenia’s relationship with Russia and the Collective Security Treaty Organization (CSTO) which so far is not sending any military aid but will only send a fact-finding mission to Armenia. Do Armenians (including our leadership) have unrealistic expectations from the organization? Listen to us to find out.

- 00:41:24 UN & International Reaction: Next, we’ll analyze international reaction to the attack including Armenia’s appeal to the UN Security Council as well as interests of Armenia’s Southern neighbor Iran.

- 00:54:35 War Communications (Karen Vrtanesyan): How did the Armenian government communicate with the public. Is the Armenian government trying to conceal the scale and impact of the Azerbaijani attack? 

- 01:07:13 Nancy Pelosi (Suren Sargsyan): A high profile congressional delegation visited Armenia this week, led by House Speaker Nancy Pelosi. We’ll get analysis from our experts on what this means for US-Armenia relations.

Guests:

- Arthur Martirosyan
- Karen Vrtanesyan - TW/@hrant_m
- Suren Sargsyan - TW/@S_A_Sargsyan

Hosts:

- Hovik Manucharyan TW/@HovikYerevan
- Asbed Bedrossian TW/@qubriq

Episode 165 | Recorded: Sunday, September 18, 2022

Website: https://groong.org/podcasts/WiR-20220918.html",LX7Y2VyD4RA,"amartirosyan,kvrtanesyan,ssargsyan",165,"""amartirosyan"",""kvrtanesyan"",""ssargsyan""",11343381-azerbaijani-aggression-facts-and-analysis-nancy-pelosi-ep-165-sep-18-2022.mp3,54860321,4567,1:16:07
2022-09-12 23:52:05,COG,"From ‘revolution’ to war with Dr. Vahram Ter-Matevosyan | Ep 164 - Sep 12, 2022","From ‘revolution’ to war: deciphering Armenia’s populist foreign policy-making process
Conversation with Dr. Vahram Ter-Matevosyan

Armenian News Network/Groong - September 12, 2022

Recently two AUA professors (Prof. Hovhannes Nikoghosyan and  Prof. Vahram Ter-Matevosyan) published a paper in Taylor and Francis Online (TANDF) that analyzes the foreign policy decision making (FPDM) process of the Nikol Pashinyan administration, titled: ""From ‘revolution’ to war: deciphering Armenia’s populist foreign policy-making process"". In this episode, we talk to one of the authors of the paper, Prof. Ter-Matevosyan.

TOPICS:

* Opening (00:00:00)
* Introduction (00:02:22) - We discuss how the idea for the paper arose and the process through which the two scholars went through to conduct their research. 

* TURKEY (00:22:51) - One specific aspect of the war, that played a significant role in the outcome, was Turkey’s involvement. In our opinion, just by sharing with Azerbaijan accurate NATO signals and satellite intelligence in the form of targets to destroy is more than enough to consider its role as decisive. Turkey went beyond that of course. Thus, paying attention and estimating Turkey’s willingness to intervene on behalf of Azerbaijan would be critical for Armenia’s leadership. We of course have seen different members of the Pashinyan team assure the press and public, even weeks before the war, that Turkey would not dare intervene.

    - Have you looked at this aspect of Armenia’s foreign policy?
    - What did Pashinyan’s team do (or perhaps didn’t do) in this area to accurately assess the risk of intervention from Turkey and to put mitigations to counter this risk?
    - Was there any specific contact with Turkey in the run-up to Sep 2020?
    - How critical were Pashinyan’s and Armen Sarkissian’s statements on the 100th anniversary of Treaty of Sevres?

* RUSSIA ( 00:37:18) - Many, especially those in the pro-Pashinyan camp today, blame Russia for throwing Armenia under the bus for better relations with Turkey. 

    - What was the conduct of Pashinyan’s foreign policy with Russia like, preceding and during the war?
    - Are the claims that Russia deceived its ally Armenia correct?
    - Did Russia in recent years ever send a signal to Armenia that it would help defend Artsakh? 

* AZERBAIJAN (00:46:56) - Many of the analysts we talk to state that it was pretty much obvious that Aliyev was gearing up for war starting from 2011 when he effectively rejected the peace deal being considered at the time. It is apparent that Azerbaijan also bid its time, preparing militarily but also tactically selecting a suitable period in time. In 2020, the world was preoccupied with Covid and in the US it was election season, as well as a period of near isolationism from foreign involvements in the Trump administration.

    - Despite the external factors, was there anything that Armenia did bilaterally with Azerbaijan that could have delayed the war or helped change its outcome?
    - What was the outcome of the infamous Dushanbe elevator meeting?

Hosts:

- Hovik Manucharyan TW/@HovikYerevan
- Asbed Bedrossian TW/@qubriq

Guest: 

- Prof. Vahram Ter-Matevosyan, an associate Professor and Chair of the Political Science and International Affairs Program at AUA. His research interests focus on Turkish politics, Kemalism, Political Islam & Security in the South Caucasus.

Episode 164 | Recorded: Sunday, September 11, 2022",9RvrWlemc9k,vtermatevosyan,164,"""vtermatevosyan""",11308976-from-revolution-to-war-with-dr-vahram-ter-matevosyan-ep-164-sep-12-2022.mp3,44314356,3689,1:01:29
2022-09-12 23:05:30,WIR,"MPG and IRI Polls | Armenian Economy | US Armenia Relations | Geopolitics | Ep 163 - Sep 11, 2022","Armenian News Network - Groong Week in Review - Sep 11, 2022

Topics:
* Latest MPG and IRI Poll Results
* What’s Up with the Armenian Economy?
* US Armenia Relations
* Geopolitical Developments

Index:
00:00:00 Intro
00:00:52 Guests
00:01:18 Topics
00:02:20 Greetings
00:02:24 MPG and IRI Poll Results
00:21:54 Armenian Economy Dynamics
00:37:13 US-Armenia Relations
00:48:06 Geopolitics, the War in Ukraine
00:55:14 Rants, Personal Statements
00:56:17 Good byes
00:56:27 Closing comments

Guest:
* Hrant Mikaelian - TW/@hrant_m
* Suren Sargsyan - TW/@S_A_Sargsyan

Hosts:
* Hovik Manucharyan TW/@HovikYerevan
* Asbed Bedrossian TW/@qubriq

Episode 163 | Recorded: Monday, September 12, 2022
Website: https://groong.org/podcasts/WiR-20220911.html",VdE4K7q_Qq8,"hmikaelian,ssargyan",163,"""hmikaelian"",""ssargyan""",11309015-mpg-and-iri-polls-armenian-economy-us-armenia-relations-geopolitics-ep-163-sep-11-2022.mp3,40961505,3409,0:56:49
2022-09-06 00:24:07,WIR,"Artsakh Independence | Diplomacy | Normalization with Turkey | Gorbachev | Ep 162 - Sep 4, 2022","Armenian News Network - Groong Week in Review - Sep 4, 2022

Topics:
* September 2: Artsakh Independence Day
    * September 2 is a public holiday commemorating the day 31 years ago when the Nagorno Karabakh Republic declared independence from the USSR. Before 2020, this would be a festive holiday. This year, there were protests in both Yerevan and Stepanakert as well as visits to the gravesites of fallen heroes.
* Developments in Geopolitics
    * There were two major meetings this week between Armenia and Azerbaijan. On August 30, the deputy PMs met in Moscow, then on August 31, Pashinyan and Aliyev met in Brussels.
* “Normalization” with Turkey
    * Next: we’ve read reports that the fifth meeting in the Turkish Armenian “Normalization” process will occur in September, so we'll discuss the pros and cons of that process with Prof. Vahram Ter-Matevosyan.
* Remembering Mikhail Gorbachev
    * As Mikhail Gorbachev passed away this past week, we’ll talk to Prof. Ara Sanjian and also Ter-Matevosyan for their recollections of the years leading up to, and following the fall of Soviet Union in 1991.

Timings

00:00:00 Start
00:00:06 Intro
00:00:57 Topics
00:02:15 September 2 & Opposition Reboot
00:05:38 Geopolitics - Moscow Meeting
00:14:39 Geopolitics - Brussels Meeting
00:20:20 Geopolitics - Reactions to the Meetings
00:31:48 Geopolitics - Cavusoglu on Syria
00:41:00 Turkish Armenian “Normalization” - Vahram Ter-Matevosyan
00:58:48 Remembering Gorbachev - Ara Sanjian
01:11:45 Remembering Gorbachev - Vahram Ter-Matevosyan
01:18:27 Personal Rants - Hovik
01:20:02 End of rants and goodbyes
01:20:13 Closing note

Guest:
* Dr. Benyamin Poghosyan - TW/@Benyamin_Poghos
* Dr. Ara Sanjian
* Dr. Vahram Ter-Matevosyan

Hosts:
* Hovik Manucharyan TW/@HovikYerevan
* Asbed Bedrossian TW/@qubriq

Episode 162 | Recorded: Sunday, September 4, 2022
Website: https://groong.org/podcasts/WiR-20220904.html",xifGGMM3mfU,"bpoghosyan,asanjian,vtermatevosyan",162,"""bpoghosyan"",""asanjian"",""vtermatevosyan""",11267954-artsakh-independence-diplomacy-normalization-with-turkey-gorbachev-ep-162-sep-4-2022.mp3,58054987,4834,1:20:34
2022-08-29 14:43:36,COG,"Anna Abrahamian: The opposition must impeach | Ep 161 - Aug 29, 2022","Armenian News Network/Groong Week in Review - August 29, 2022
Conversation with Anna Abrahamian

In the spring and summer of 2022 the Armenian parliamentary opposition was in the streets of Yerevan in large numbers, with a goal to remove the de-facto prime minister of Armenia, Nikol Pashinyan. That failed, or at least did not achieve all of the goals it had set for itself.

Especially as we near the end of August and the protests are set to restart, we’re analyzing what didn’t work, and how to take more effective steps forward. We want to look at specific issues such as whether to move for impeachment or not.

To talk about this issue, today we have Anna Abrahamian, who is a geopolitical analyst currently splitting her time between Moscow and Athens. 

Guest:  Anna Abrahamian

Hosts:

Hovik Manucharyan TW/@HovikYerevan
Asbed Bedrossian TW/@qubriq

Episode 161 | Recorded: Sunday, August 29, 2022

Web: https://groong.org/podcasts/CoG-20220829.html


 աննա աբրահամյան,  edgar ghazaryan",u9zPGNrelpE,aabrahamian,161,"""aabrahamian""",11224496-anna-abrahamian-the-opposition-must-impeach-ep-161-aug-29-2022.mp3,26971869,2243,0:37:23
